"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"ABI3BP" 673.00186 1275.061429 106.999930588566 1109.03442 226.999737 152.107155 2736.99738 12688.13732 162.99972229 3501.00547 207.0000069 280.9994696 1844.77744 2096.9955 366 246.00044 285.00039 406.99974 223.0002 2607.00298 1104.9999 325.00008 2722.99877 677.99954 1533.0003 324.00041
"ABL1" 835.00046 4109.992 367.9999 498.9998 45.99997 148 59 3673.9958 76.99999 531.9997 358.0004 71 521.9999 430.57872 340.69349 195.50279 98.15946 250.92849 148.97991 177.00941 466.3258 309.71529 528.30409 425.50693 2073.7191 1138.83341
"ABL2" 544.25237 2120.3678 557.59628 521.65714 113.636 327.29777 193.674365 1620.38124 346.89389 487.82079 1795.79142 286.31224 1047.377904 729.60454 677.17811 910.20526 310.127 671.1723 210.257 446.06 1334.18609 119.70161 678.02986 372.904 3443.0645 1440.3996
"ABLIM1" 4599.00941 6294.30558 3462.9931684748 60453.1288521142 1501.97392 1397.09833 1719.14167 28638.26791 1180.98564 2995.72262 8145.460100809 1102.251 4269.39641 4072.00383834 711.9997 1778.9962397 4484.99987 1924.996539 771.999543531 2497.99826 4529.002159 689.9996089253 6583.00519 2171.00057 19876.98066 387.0002
"ABLIM2" 113.00009 660.99911 78.99999 191.99996 9 8.999998 11 69.99993 26.00005 62 30 99.99997 46.9999891 144.44645 31.66876 262.3717882959 35.95974 7.00187207476 12.13481 9.00000139984 7 50.001995 51.9599 3.69819 67.12818 10.33355
"ABLIM3" 6490.00040714869 887.99932 79.9999658 6261.00489 312.000523141 4972.00662 364.0004 2093.00418 54.000003 511.99964 5.000003 219.00007493413 215.00045 353.0002 25 80 75 56 192 325 22 228 10 15 84 97
"ABR" 28.484674 28.739864164 1.46350238351 151.797521 0.71542302977 0.13137667477 9.305825 21.364442 8.2516611657 30.186042 18.85566 1.00027 20.180771869 1252.99987 610.99994 2272.0016 119 482.99956 44.99999 285.9997 568.00009 229.9998 1351.99913 2162.0022 3201.00206 308.99973
"ABRA" 2.04501 34.0355 0 832.915 0 3.05621 4 19.2851 7.37527 18 7.44862 3.09811 170 8.05978 13.064 9.02513 472.604 6.00412 1.00089 92.0343 0 2.00415 8.05952 10.0647 10.0692 9.29296
"ABRACL" 120 187 863 94 362 435 1398 344 112 391 1903.00452 629 366.99979 1690.15746 329.9365 309.99946 226.8079 685.19127 278.32917 2618.54957 1245.27179 69.43946 2007.40381 1253.43981 2144.9961 343.61741
"ABRAXAS1" 242.77201 410.6277 75.43083 264.96054 134.45645 109.16604 541.95761 1088.83113 137.5439210216 648.96508 549.95554 252.80132 608.3417 399.5576144308 512.1462 183.8325084 239.12858 311.12231 287.07533 249 614.84643419 40.0728457 582.7485898 446.5719 730.022286 1060.32332
"ABRAXAS2" 355 1820 429 836 314 416 780 1159 206 794 1748 462 435 901.08505 1346.01456 738.52234 386.00366 1512.32392 898.60295 889.00423 1486.04552 131.013145 1380.12257 1549.08352 1987.0804 2728.0683
"ABT1" 141 548 132 173 114 166 341 500 131 284 284 252 188 121.007 91.6118 97.6724 26.6775 94.277 84.7499 168.043 127.954 30.2608 94.0322 63.6388 296.232 246.219
"ABTB1" 274.00004 132.9999608 1 205.0002801132 2 25.99997 13.000005 315.00054 53.99997 107.00004 27 16.99999 35.00001 88.999986 25 38 18 18 32.00004 29 40 86.00006 87.999996 39.99999912 530.00015 47
"ABTB2" 59 1185 37 481 34 104 12 415 22 66 389 4 146.9999 18.00003 131 31 31 49.99995 118.00025 21 39 16.99995 39.99996 10 251.99982 132.99983
"ACAA2" 2447.74892 8107.7819 1937.07652 9329.8478 5236.1945 11458.8973 2786.44878 3282.9757 688.15349 2236.5618 13333.3281 514.1101 1136.8598 612 758 56.99999 957 1582.999 3963.003 425 610 74 347.0005 811 647 281.0004
"ACACA" 1345.8716050658 8763.71238 1106.00707166949 464.43488 68.5766557 824.16645 296.784742 2134.16758607 141.989182 408.247905 667.158714149969 81.856631636 1626.62401778091 3719.37684 4948.7819 898.81768 129.11735 581.46192 1076.21551 552.72 1633.2164 311.04187 1200.08668 414.51224 1776.30083 3659.70703
